Designator,Mid X,Mid Y,Layer,Rotation
C1,74.788000,-69.960000,top,90.000000
C2,74.560000,-60.720000,top,180.000000
C4,73.995000,-65.685000,top,90.000000
C6,75.690000,-51.870000,top,180.000000
C7,65.520000,-74.580000,top,90.000000
C8,68.118000,-79.860000,top,90.000000
C9,75.690000,-49.420000,top,180.000000
C31,66.000000,-94.700000,top,0.000000
C32,75.679000,-62.855000,top,0.000000
C41,73.500000,-74.200000,top,90.000000
C42,88.250000,-110.400000,top,0.000000
D31,79.500000,-98.700000,top,0.000000
J13,97.500000,-40.650000,top,180.000000
K31,94.650000,-102.900000,top,90.000000
L1,66.755000,-67.980000,top,90.000000
LED1,83.600000,-56.760000,top,90.000000
LED2,79.645000,-57.562000,top,90.000000
LED3,72.707000,-69.200000,top,90.000000
LED4,82.445000,-78.700000,top,90.000000
Q1,81.178000,-64.730000,top,90.000000
Q31,84.000000,-98.700000,top,0.000000
R1,79.032000,-69.960000,top,90.000000
R2,78.379000,-65.076000,top,90.000000
R3,75.690000,-55.440000,top,180.000000
R4,80.210000,-54.885000,top,180.000000
R5,79.645000,-61.072000,top,90.000000
R6,80.210000,-90.420000,top,180.000000
R7,83.600000,-90.420000,top,180.000000
R8,77.500000,-74.200000,top,90.000000
R13,80.000000,-52.231000,top,90.000000
R14,76.983000,-69.200000,top,90.000000
R15,81.340000,-74.580000,top,90.000000
R16,81.340000,-83.820000,top,90.000000
R17,80.395000,-79.200000,top,90.000000
R20,83.879000,-61.380000,top,90.000000
R31,74.000000,-94.700000,top,0.000000
R32,70.000000,-94.700000,top,0.000000
R41,90.745000,-78.540000,top,90.000000
R42,70.025000,-69.200000,top,90.000000
R43,89.091000,-51.480000,top,90.000000
R44,86.311000,-50.200000,top,0.000000
R45,82.940000,-50.200000,top,0.000000
SW1,86.500000,-45.000000,top,0.000000
U1,68.910000,-58.740000,top,90.000000
U2,71.847000,-79.970000,top,90.000000
U3,69.000000,-74.090000,top,90.000000
U4,96.200000,-114.200000,top,0.000000
