Designator,Mid X,Mid Y,Layer,Rotation
C1,84.500000,-105.500000,top,0.000000
C2,91.500000,-106.000000,top,90.000000
C4,88.000000,-105.500000,top,0.000000
C6,97.022000,-107.000000,top,90.000000
C7,81.000000,-98.000000,top,0.000000
C8,77.000000,-98.000000,top,0.000000
C9,103.067000,-107.000000,top,90.000000
C31,99.540000,-74.890000,top,90.000000
C32,99.540000,-54.570000,top,90.000000
C41,91.000000,-122.500000,top,0.000000
D31,119.860000,-68.540000,top,0.000000
J13,65.650000,-104.000000,top,-90.000000
K31,117.320000,-58.380000,top,0.000000
L1,86.000000,-100.000000,top,0.000000
LED1,94.500000,-114.000000,top,0.000000
LED2,94.335000,-110.500000,top,0.000000
LED3,84.500000,-118.000000,top,0.000000
LED4,77.500000,-118.000000,top,0.000000
Q1,87.000000,-114.000000,top,0.000000
Q31,117.320000,-73.620000,top,0.000000
R1,84.026000,-109.500000,top,0.000000
R2,87.427000,-109.500000,top,0.000000
R3,94.865000,-107.000000,top,90.000000
R4,96.977000,-111.000000,top,90.000000
R5,90.935000,-110.500000,top,0.000000
R6,69.000000,-111.067000,top,90.000000
R7,69.000000,-114.578000,top,90.000000
R8,81.000000,-118.000000,top,0.000000
R13,96.956000,-100.000000,top,90.000000
R14,88.000000,-118.000000,top,0.000000
R15,81.000000,-112.000000,top,0.000000
R16,74.000000,-112.000000,top,0.000000
R17,77.500000,-112.000000,top,0.000000
R20,91.000000,-114.000000,top,0.000000
R31,117.320000,-83.780000,top,0.000000
R32,117.320000,-81.240000,top,0.000000
R41,78.000000,-122.500000,top,0.000000
R42,95.000000,-122.500000,top,0.000000
R43,98.500000,-122.500000,top,0.000000
R44,85.000000,-95.700000,top,0.000000
R45,89.000000,-95.700000,top,0.000000
U1,93.000000,-101.000000,top,0.000000
U2,77.000000,-103.500000,top,0.000000
U3,85.000000,-122.500000,top,0.000000
