Comment,Designator,Footprint,JLCPCB Part #
10uF,"C1,C7,C8",C_0805_2012Metric,C15850
2.2uF,C2,C_0805_2012Metric,C377773
0.1uF,"C31,C32,C4,C41,C42",C_0805_2012Metric,C49678
47uF,"C6,C9",C_1206_3216Metric,C96123
1N4148W,D31,D_SOD-123,C81598
USB-C,J13,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
G6S-2F DC5,K31,Relay_DPDT_Omron_G6S-2F,C16707
6.8uH,L1,L_Changjiang_FNR4018S,C167807
RED,LED1,LED_0805_2012Metric,C84256
WHITE,LED2,LED_0805_2012Metric,C34499
GREEN,LED3,LED_0805_2012Metric,C2297
YELLOW,LED4,LED_0805_2012Metric,C2296
MMUN2133LT1G,Q1,SOT-23,C21714196
AO3401A,Q2,SOT-23,C15127
SS8050,Q31,SOT-23,C2150
1.87M,"R1,R3",R_0805_2012Metric,C482988
15K,R15,R_0805_2012Metric,C17475
330K,R2,R_0603_1608Metric,C23137
1k,"R14,R16,R20,R31,R5,R8",R_0805_2012Metric,C17513
10k,"R32,R42,R43",R_0805_2012Metric,C17414
200K,"R13,R4",R_0805_2012Metric,C17539
10m,R41,R_1206_3216Metric,C105362
5.1k,"R44,R45",R_0805_2012Metric,C27834
100K,"R17,R46",R_0805_2012Metric,C149504
220K,R6,R_0603_1608Metric,C22961
82K,R7,R_0603_1608Metric,C23254
TPS61090RSAR,U1,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm,C206167
MCP73871-2CCI/ML,U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C5121473
INA226AIDGSR,U3,TSSOP-10_3x3mm_P0.5mm,C49851
AS5600-ASOM,U4,SOIC-8_3.9x4.9mm_P1.27mm,C79815
