Designator,Mid X,Mid Y,Layer,Rotation
C1,61.725000,-58.400000,top,0.000000
C2,61.183000,-68.910000,top,0.000000
C4,65.275000,-58.400000,top,0.000000
C6,65.333000,-68.948000,top,0.000000
C7,76.400000,-58.285000,top,0.000000
C8,73.500000,-57.682000,top,90.000000
C9,69.984000,-68.800000,top,0.000000
C31,62.080000,-46.350000,top,270.000000
C32,83.278000,-55.725000,top,270.000000
C41,80.449000,-54.120000,top,180.000000
C42,100.800000,-63.900000,top,270.000000
D31,55.100000,-57.426000,top,270.000000
J13,81.011968,-43.920913,top,180.000000
K31,91.832000,-50.670000,top,90.000000
L1,67.500000,-63.400000,top,180.000000
Q2,85.070828,-63.400000,top,180.000000
Q31,55.650000,-61.876833,top,90.000000
R1,61.845000,-54.400000,top,0.000000
R2,65.155000,-54.400000,top,0.000000
R3,64.700000,-66.697000,top,180.000000
R4,60.620000,-66.830000,top,180.000000
R6,69.100000,-57.300000,top,0.000000
R7,69.100000,-59.600000,top,180.000000
R13,74.000000,-53.900000,top,0.000000
R15,72.600000,-66.400000,top,180.000000
R16,76.245000,-66.400000,top,0.000000
R17,79.755000,-66.400000,top,0.000000
R31,57.590000,-55.393000,top,270.000000
R32,57.590000,-51.884000,top,270.000000
R41,80.500000,-63.400000,top,180.000000
R42,83.745000,-58.525000,top,0.000000
R43,87.255000,-58.400000,top,0.000000
R44,82.000000,-49.600000,top,270.000000
R45,79.900000,-49.600000,top,270.000000
R46,84.000000,-69.760000,top,0.000000
U1,62.000030,-63.115030,top,180.000000
U2,73.500024,-62.132976,top,270.000000
U3,80.047051,-58.380000,top,180.000000
U4,105.700000,-63.600000,top,270.000000
